dir,top3_sources,top3_abs_corr_mean,top3_layer_mean,mae,n_features
dir_1,"hidden,hidden,visual",0.5716300686685319,1.3333333333333333,0.5744407451948963,50
dir_11,"hidden,hidden,visual",0.5666414459526091,2.0,0.6050830879720016,50
dir_0,"hidden,hidden,hidden",0.6437060696747566,2.3333333333333335,0.6843342659890943,50
dir_2,"hidden,hidden,hidden",0.44602203847607685,3.3333333333333335,0.745767816190819,50
dir_10,"hidden,hidden,output",0.42239867708654977,3.6666666666666665,0.7790309795584445,50
dir_3,"hidden,hidden,hidden",0.3346942366438777,2.6666666666666665,0.8378203547290585,47
dir_9,"hidden,hidden,hidden",0.345569364381248,3.6666666666666665,0.8680066135944791,44
dir_4,"hidden,output,hidden",0.2569124071737617,3.6666666666666665,0.9007632880788576,9
dir_8,"hidden,hidden,output",0.2715841100235988,3.6666666666666665,0.9311833091244558,6
dir_7,"hidden,hidden,hidden",0.2228013060849591,3.0,0.9984629059075486,8
dir_6,"hidden,hidden,hidden",0.38360742838872186,3.6666666666666665,1.0243494798052082,50
dir_5,"hidden,hidden,hidden",0.20567889741158754,3.6666666666666665,1.0412781541155076,4
